ID,Año,Data
COL,2013,2.0945419816998765
COL,2014,0.24668869949528016
COL,2015,-1.6860005815688055
COL,2016,-3.7035258615214843
COL,2017,-5.8058871403336525
COL,2018,-7.993084418034414
COL,2019,-10.265117694594664
COL,2020,-12.621986970014405
COL,2021,-15.063692244293634
COL,2022,-17.590233517461456
COM,2014,0.24668869949528016
COG,2011,5.535740549588809
CRI,2011,5.535740549588809
CRI,2012,3.8575592650449835
CRI,2013,2.0945419816998765
CRI,2014,0.24668869949528016
CRI,2015,-1.6860005815688055
CRI,2016,-3.7035258615214843
CRI,2017,-5.8058871403336525
CRI,2018,-7.993084418034414
CRI,2019,-10.265117694594664
CRI,2020,-12.621986970014405
CRI,2021,-15.063692244293634
CRI,2022,-17.590233517461456
CIV,2015,-1.6860005815688055
CIV,2018,-7.993084418034414
